1900,190120 ,	92.0
1900,190736 ,	96.0
1900,191447 ,	98.0
1900,192975 ,	98.0
1900,194105 ,	96.0
1900,196486 ,	0.0
1900,198367 ,	94.0
1901,190120 ,	97.0
1901,190736 ,	94.0
1901,191447 ,	99.0
1901,192975 ,	99.0
1901,194105 ,	97.0
1901,196486 ,	0.0
1901,198367 ,	92.0
1902,190120 ,	90.0
1902,190736 ,	90.0
1902,191447 ,	92.0
1902,191561 ,	0.0
1902,192975 ,	92.0
1902,194105 ,	91.0
1902,196486 ,	90.0
1902,198367 ,	90.0
1903,190120 ,	97.0
1903,190736 ,	92.0
1903,191447 ,	95.0
1903,192975 ,	94.0
1903,194105 ,	96.0
1903,196486 ,	90.0
1903,198367 ,	93.0
1904,190120 ,	94.0
1904,190736 ,	90.0
1904,191447 ,	94.0
1904,192975 ,	93.0
1904,194105 ,	91.0
1904,196486 ,	91.0
1904,198367 ,	92.0
1905,190120 ,	93.0
1905,190736 ,	91.0
1905,191447 ,	96.0
1905,192975 ,	93.0
1905,194105 ,	94.0
1905,196486 ,	91.0
1905,198367 ,	92.0
1906,190120 ,	91.0
1906,190736 ,	90.0
1906,191447 ,	93.0
1906,192975 ,	92.0
1906,194105 ,	92.0
1906,196486 ,	90.0
1906,198367 ,	89.0
1907,190120 ,	96.0
1907,190736 ,	95.0
1907,191447 ,	99.0
1907,192975 ,	96.0
1907,194105 ,	95.0
1907,196486 ,	89.0
1907,198367 ,	90.0
1908,190120 ,	96.0
1908,190736 ,	97.0
1908,191447 ,	101.0
1908,192975 ,	99.0
1908,194105 ,	98.0
1908,196486 ,	91.0
1908,198367 ,	93.0
1909,190120 ,	94.0
1909,190736 ,	96.0
1909,191447 ,	98.0
1909,192975 ,	95.0
1909,194105 ,	95.0
1909,196486 ,	90.0
1909,198367 ,	94.0
1910,190120 ,	97.0
1910,190736 ,	93.0
1910,191447 ,	95.0
1910,192975 ,	96.0
1910,194105 ,	95.0
1910,196486 ,	89.0
1910,198367 ,	90.0
1911,190120 ,	104.0
1911,190736 ,	99.0
1911,191447 ,	103.0
1911,192975 ,	104.0
1911,194105 ,	106.0
1911,196486 ,	94.0
1911,198367 ,	98.0
1912,190120 ,	98.0
1912,190736 ,	99.0
1912,191447 ,	99.0
1912,192975 ,	99.0
1912,194105 ,	96.0
1912,196486 ,	94.0
1912,198367 ,	94.0
1913,190120 ,	100.0
1913,190736 ,	93.0
1913,191447 ,	98.0
1913,192975 ,	96.0
1913,194105 ,	97.0
1913,196486 ,	93.0
1913,198367 ,	90.0
1914,190120 ,	97.0
1914,190736 ,	93.0
1914,191447 ,	95.0
1914,192975 ,	94.0
1914,194105 ,	95.0
1914,196486 ,	92.0
1914,198367 ,	93.0
1915,190120 ,	93.0
1915,190736 ,	88.0
1915,191447 ,	94.0
1915,192975 ,	92.0
1915,194105 ,	92.0
1915,196486 ,	89.0
1915,198367 ,	89.0
1916,190120 ,	96.0
1916,190736 ,	91.0
1916,191447 ,	95.0
1916,192975 ,	95.0
1916,194105 ,	93.0
1916,196486 ,	92.0
1916,198367 ,	90.0
1917,190120 ,	98.0
1917,190736 ,	97.0
1917,191447 ,	99.0
1917,192975 ,	100.0
1917,194105 ,	98.0
1917,196486 ,	91.0
1917,198367 ,	97.0
1918,190120 ,	100.0
1918,190736 ,	93.0
1918,191447 ,	96.0
1918,192975 ,	96.0
1918,194105 ,	97.0
1918,196486 ,	90.0
1918,198367 ,	94.0
1919,190120 ,	101.0
1919,190736 ,	99.0
1919,191447 ,	100.0
1919,192975 ,	99.0
1919,194105 ,	101.0
1919,196486 ,	84.0
1919,198367 ,	97.0
1920,190120 ,	92.0
1920,190736 ,	89.0
1920,191447 ,	92.0
1920,192975 ,	91.0
1920,194105 ,	92.0
1920,196486 ,	88.0
1920,198367 ,	89.0
1921,190120 ,	96.0
1921,190736 ,	93.0
1921,191447 ,	94.0
1921,192975 ,	94.0
1921,194105 ,	97.0
1921,196486 ,	92.0
1921,198367 ,	94.0
1922,190120 ,	94.0
1922,190736 ,	89.0
1922,191447 ,	93.0
1922,192975 ,	95.0
1922,194105 ,	93.0
1922,196486 ,	90.0
1922,198367 ,	89.0
1923,190120 ,	97.0
1923,190736 ,	92.0
1923,191447 ,	95.0
1923,192975 ,	95.0
1923,194105 ,	97.0
1923,196486 ,	89.0
1923,198367 ,	93.0
1924,190120 ,	97.0
1924,190736 ,	95.0
1924,191447 ,	97.0
1924,192975 ,	97.0
1924,194105 ,	96.0
1924,196486 ,	93.0
1924,198367 ,	94.0
1925,190120 ,	97.0
1925,190736 ,	95.0
1925,191447 ,	96.0
1925,192975 ,	96.0
1925,194105 ,	99.0
1925,196486 ,	96.0
1925,198367 ,	95.0
1926,190120 ,	100.0
1926,190218 ,	0.0
1926,190736 ,	99.0
1926,190860 ,	0.0
1926,191447 ,	102.0
1926,192642 ,	99.0
1926,192806 ,	97.0
1926,192975 ,	100.0
1926,194012 ,	101.0
1926,194105 ,	102.0
1926,194313 ,	97.0
1926,194744 ,	0.0
1926,195246 ,	87.0
1926,196486 ,	90.0
1926,198367 ,	0.0
1927,190120 ,	91.0
1927,190218 ,	0.0
1927,190736 ,	92.0
1927,190860 ,	0.0
1927,191447 ,	95.0
1927,192642 ,	90.0
1927,192806 ,	97.0
1927,192975 ,	93.0
1927,194012 ,	96.0
1927,194105 ,	95.0
1927,194313 ,	91.0
1927,194744 ,	0.0
1927,195246 ,	85.0
1927,196486 ,	91.0
1927,198367 ,	91.0
1928,190120 ,	86.0
1928,190218 ,	0.0
1928,190736 ,	95.0
1928,190860 ,	0.0
1928,191447 ,	96.0
1928,192451 ,	93.0
1928,192642 ,	94.0
1928,192806 ,	95.0
1928,192975 ,	94.0
1928,194012 ,	98.0
1928,194105 ,	97.0
1928,194313 ,	93.0
1928,194744 ,	0.0
1928,195246 ,	85.0
1928,196486 ,	91.0
1928,198367 ,	94.0
1929,190120 ,	97.0
1929,190218 ,	0.0
1929,190736 ,	95.0
1929,190860 ,	0.0
1929,191447 ,	95.0
1929,192451 ,	92.0
1929,192642 ,	94.0
1929,192806 ,	96.0
1929,192975 ,	95.0
1929,194012 ,	95.0
1929,194105 ,	96.0
1929,194313 ,	96.0
1929,194744 ,	0.0
1929,195246 ,	86.0
1929,196486 ,	90.0
1929,198367 ,	95.0
1929,199360 ,	96.0
1930,190120 ,	95.0
1930,190218 ,	0.0
1930,190736 ,	96.0
1930,190860 ,	96.0
1930,191447 ,	96.0
1930,192451 ,	92.0
1930,192642 ,	96.0
1930,192806 ,	97.0
1930,192975 ,	98.0
1930,194012 ,	97.0
1930,194105 ,	95.0
1930,194313 ,	93.0
1930,194744 ,	0.0
1930,195246 ,	89.0
1930,196486 ,	93.0
1930,198367 ,	95.0
1930,199360 ,	94.0
1931,190049 ,	94.0
1931,190120 ,	96.0
1931,190218 ,	0.0
1931,190257 ,	0.0
1931,190736 ,	97.0
1931,190801 ,	0.0
1931,190860 ,	97.0
1931,191425 ,	0.0
1931,191436 ,	0.0
1931,191447 ,	96.0
1931,191622 ,	95.0
1931,192451 ,	94.0
1931,192642 ,	94.0
1931,192806 ,	98.0
1931,192975 ,	95.0
1931,192997 ,	0.0
1931,193052 ,	0.0
1931,193270 ,	0.0
1931,193401 ,	0.0
1931,193471 ,	0.0
1931,193505 ,	99.0
1931,193549 ,	0.0
1931,193702 ,	0.0
1931,193713 ,	94.0
1931,193772 ,	0.0
1931,193821 ,	91.0
1931,193876 ,	0.0
1931,193931 ,	0.0
1931,194012 ,	96.0
1931,194105 ,	96.0
1931,194313 ,	95.0
